"Indicação de data e hora","Você utiliza um smartphone ou tablet Android","Você possui algum animal doméstico","Você tem ou já teve intençção de adotar algum animal","Você já perdeu algum animal?","Você usaria um sistema ou aplicativo de busca/adoção de animais?"
"2016/08/12 10:36:38 PM GMT-3","Não","Cachorro","Não","Não","Não"
"2016/08/12 10:36:46 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/12 10:36:51 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:36:56 PM GMT-3","Não","Não tenho","Não","Não","Sim"
"2016/08/12 10:37:01 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:37:07 PM GMT-3","Sim","Cachorro","Sim","Não","Talvez"
"2016/08/12 10:37:11 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:37:18 PM GMT-3","Sim","Não tenho","Sim","Sim","Sim"
"2016/08/12 10:37:24 PM GMT-3","Sim","Cachorro;Outro","Sim","Não","Sim"
"2016/08/12 10:37:38 PM GMT-3","Sim","Cachorro","Sim","Não","Não"
"2016/08/12 10:37:40 PM GMT-3","Sim","Não tenho","Sim","Não","Talvez"
"2016/08/12 10:37:55 PM GMT-3","Sim","Cachorro","Não","Sim","Sim"
"2016/08/12 10:38:08 PM GMT-3","Sim","Não tenho","Não","Não","Sim"
"2016/08/15 9:25:52 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/15 9:26:10 PM GMT-3","Sim","Não tenho","Não","Não","Talvez"
"2016/08/15 9:26:26 PM GMT-3","Sim","Não tenho","Sim","Sim","Talvez"
"2016/08/15 9:26:41 PM GMT-3","Sim","Cachorro;Gato","Sim","Não","Sim"
"2016/08/15 9:27:00 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/15 9:27:12 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/15 9:27:29 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/15 9:27:43 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/15 9:27:57 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/15 9:28:23 PM GMT-3","Sim","Não tenho","Sim","Sim","Sim"
"2016/08/15 9:28:33 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/15 9:28:43 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/15 9:28:56 PM GMT-3","Sim","Cachorro","Sim","Não","Talvez"
"2016/08/15 9:29:07 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/15 9:29:20 PM GMT-3","Sim","Cachorro","Sim","Sim","Talvez"
"2016/08/15 9:29:34 PM GMT-3","Sim","Cachorro","Não","Não","Sim"
"2016/08/15 9:29:47 PM GMT-3","Sim","Não tenho","Não","Não","Não"
"2016/08/15 9:29:59 PM GMT-3","Sim","Cachorro","Não","Não","Sim"
"2016/08/15 9:30:09 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/15 9:30:22 PM GMT-3","Sim","Cachorro","Não","Sim","Sim"
"2016/08/15 9:30:37 PM GMT-3","Sim","Não tenho","Sim","Não","Talvez"
"2016/08/15 9:30:48 PM GMT-3","Sim","Cachorro","Não","Sim","Sim"
"2016/08/15 9:31:02 PM GMT-3","Sim","Cachorro;Outro","Não","Não","Sim"
"2016/08/15 9:31:13 PM GMT-3","Sim","Não tenho","Não","Não","Não"
"2016/08/15 9:31:26 PM GMT-3","Sim","Não tenho","Não","Sim","Sim"
"2016/08/15 9:31:39 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/15 9:31:51 PM GMT-3","Sim","Cachorro","Não","Não","Talvez"
"2016/08/15 9:32:03 PM GMT-3","Sim","Não tenho","Sim","Sim","Sim"
"2016/08/15 9:32:13 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/15 9:33:10 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/15 9:33:22 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/15 9:33:34 PM GMT-3","Sim","Não tenho","Não","Não","Talvez"
"2016/08/15 9:33:51 PM GMT-3","Sim","Não tenho","Sim","Não","Talvez"
"2016/08/15 9:34:06 PM GMT-3","Sim","Cachorro","Não","Sim","Talvez"
"2016/08/15 9:34:36 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/15 9:34:45 PM GMT-3","Sim","Gato","Sim","Sim","Sim"
"2016/08/15 9:34:56 PM GMT-3","Sim","Cachorro","Não","Não","Talvez"
"2016/08/15 9:35:09 PM GMT-3","Sim","Não tenho","Sim","Não","Talvez"
"2016/08/15 9:36:00 PM GMT-3","Sim","Outro","Não","Sim","Talvez"
